Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,lat,lng,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Approval_Date,Origin,Feature,Article,Singular,Plural,Description,Venus
51,Aditi Dorsa,Aditi Dorsa,Venus,1200,-30,189,Asia,India,Dorsa,DO,1997,Indian sky goddess.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
52,Adivar,Adivar,Venus,30.3,8.9,76.2,Asia,Turkey,Craters,AA,1991,"Halide; Turkish educator, author (1883-1964).","Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
57,Adrasthea Tesserae,Adrasthea Tesserae,Venus,750,30,55,Europe,Greek,Tesserae,TE,1997,Greek goddess of law.,"Tessera, tesserae",A,Tessera,tesserae,"an area of tile-like, polygonal terrain. Often represents the oldest material at any given location",goddesses of fate and fortune
61,Adzoba,Adzoba,Venus,10,12.8,117,Africa,Ghana,Craters,AA,1997,Ewe (Ghana) first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
62,Aegina Farrum,Aegina Farrum,Venus,60,35.5,20.9,Europe,Greek,Farra,FR,1994,Greek river nymph.,"Farrum, farra",A,Farrum,farra,"a pancake-like structure, or a row of such structures",water goddesses
67,Aeracura Corona,Aeracura Corona,Venus,250,-19,238.5,Europe,Celtic,Coronae,CR,1994,Celtic earth goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
70,Aethelflaed,Aethelflaed,Venus,20,-18.2,196.6,Europe,England,Craters,AA,1994,English leader of the Mercians (c. 884-918).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
73,Afiba,Afiba,Venus,9.5,-47.1,102.7,Africa,Ghana,Craters,AA,1997,Ewe first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
74,Afiruwa,Afiruwa,Venus,5.2,4.3,3.8,Africa,Nigeria,Craters,AA,1997,Hausa first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
77,Aftenia,Aftenia,Venus,7,49.95,324,Europe,Moldova,Craters,AA,1997,Moldavian first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
78,Afua,Afua,Venus,10,15.5,124,Africa,Ghana,Craters,AA,1997,Akan (Ghana) first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
85,Aglaonice,Aglaonice,Venus,63.7,-26.4,339.9,Europe,Greek,Craters,AA,1991,Ancient Greek astronomer.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
87,Agnesi,Agnesi,Venus,42.4,-39.4,37.7,Europe,Italy,Craters,AA,1991,Maria; Italian mathematician (1718-1799).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
89,Agoe,Agoe,Venus,6.3,13.1,4.3,Africa,Ghana,Craters,AA,1997,Eve first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
90,Agraulos Corona,Agraulos Corona,Venus,170,-27.7,165.8,Europe,Greek,Coronae,CR,1994,Greek fertility goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
93,Agrippina,Agrippina,Venus,38.6,-33.2,65.7,Europe,Roman,Craters,AA,1991,Roman empress (c. 13 B.C.-A.D. 33).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
6978,Agrona Linea,Agrona Linea,Venus,2300,40,280,Europe,Wales,Lineae,LI,2006,"Welsh goddess of slaughter, destroyer of life. ","Linea, lineae",A,Linea,lineae,"a general term for any long marking, dark or bright, on a planet's surface",goddesses of war
97,Ahava,Ahava,Venus,10.4,53.6,187.3,Asia,Hebrew,Craters,AA,1997,Hebrew first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
100,Ahsabkab Vallis,Ahsabkab Vallis,Venus,700,-24,79,South and Central America,Mayan,Valles,VA,2000,Mayan name for morning Venus.,"Vallis, valles",A,Vallis,valles,a valley,"the word for Venus in various world languages (if 400 km and longer), or river goddesses (if less than 400 km in length)"
101,Ahsonnutli Dorsa,Ahsonnutli Dorsa,Venus,1708,47.9,196.5,North America,Navajo,Dorsa,DO,1985,Navajo (N. America) spirit of light and sky.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
103,Aibarchin Planitia,Aibarchin Planitia,Venus,1200,-73,25,Asia,Uzbekistan,Planitiae,PL,1997,"Uzbek ""Alpamysh"" epic tale heroine.","Planitia, planitiae",A,Planitia,planitiae,a low plain,mythological heroines
105,Aida-Wedo Dorsa,Aida Wedo Dorsa,Venus,450,73,214,North America,Haiti,Dorsa,DO,1997,Haitian rainbow spirit.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
107,Aife Fossae,Aife Fossae,Venus,280,67,131,Europe,Ireland,Fossae,FO,1997,Irish warrior deity.,"Fossa, fossae",A,Fossa,fossae,"a long, narrow, shallow depression",goddesses of war
108,Aigul,Aigul,Venus,6,38.2,280.4,Europe,Kalmyk,Craters,AA,1997,Kalmyk first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
109,Aikhylu Chasma,Aikhylu Chasma,Venus,300,32,292,Europe,Bashkir,Chasmata,CM,1997,Bashkir myth's moon daughter.,"Chasma, chasmata",A,Chasma,chasmata,"a deep, elongated, steep-sided depression",goddesses of the hunt or moon goddesses
110,Ailar,Ailar,Venus,8.2,-15.8,68.4,Asia,Turkmenistan,Craters,AA,1997,Turkman first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
111,Aimee,Aimee,Venus,17,16.1,127.2,Europe,France,Craters,AA,1994,French first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
112,Aino Planitia,Aino Planitia,Venus,4985,-40.5,94.5,Europe,Finland,Planitiae,PL,1982,Finnish heroine who became water spirit.,"Planitia, planitiae",A,Planitia,planitiae,a low plain,mythological heroines
116,Aisha,Aisha,Venus,10.6,39.3,53.3,Asia,Kyrgyzstan,Craters,AA,1997,Kyrgyz first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
117,Aita,Aita,Venus,14,8.9,270.7,Europe,Estonia,Craters,AA,1994,Estonian first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
118,Aitchison Patera,Aitchison Patera,Venus,28,-16.7,349.4,North America,American,Paterae,PE,1994,Alison; American geographer.,"Patera, paterae",A,Patera,paterae,"an irregular crater, usually referring to the dish-shaped depression atop a volcano",famous women
122,Ajina Fossae,Ajina Fossae,Venus,300,-45,258,Asia,Tajik,Fossae,FO,1997,Tajik evil spirit.,"Fossa, fossae",A,Fossa,fossae,"a long, narrow, shallow depression",goddesses of war
126,Akeley,Akeley,Venus,23.4,8,244.5,North America,American,Craters,AA,1994,Delia; American explorer (1875-1970).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
125,Ak-Ene Corona,Ak Ene Corona,Venus,150,9.4,254.7,Asia,Altai,Coronae,CR,2003,"Altay Great Mother, ""White Mother.""","Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
127,Akewa Dorsa,Akewa Dorsa,Venus,900,45.5,184,South and Central America,Argentina,Dorsa,DO,1997,Toba (Argentina) sun goddess.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
128,Akhmatova,Akhmatova,Venus,41.4,61.3,307.9,Europe,Soviet,Craters,AA,1985,Anna; Soviet poet (1889-1966).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
130,Akhtamar Planitia,Akhtamar Planitia,Venus,2700,27,65,Asia,Armenian,Planitiae,PL,1997,Armenian epic heroine.,"Planitia, planitiae",A,Planitia,planitiae,a low plain,mythological heroines
132,Akiko,Akiko,Venus,17.4,30.6,187.3,Asia,Japan,Craters,AA,1994,Yosano; Japanese Tanka poetess (1878-1942).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
14597,Akka Tholus,Akka Tholus,Venus,19.4,75.1,233,Europe,Finland,Tholi,TH,2009,Finnish mother goddess.,"Tholus, tholi",A,Tholus,tholi,a small domical mountain or hill,miscellaneous goddesses
135,Akkruva Colles,Akkruva Colles,Venus,1059,46.1,115.5,Europe,Latin,Colles,CO,1985,Saami-Lapp fishing goddess.,Colles,A,Colles,colles,a collection of small hills or knobs,sea goddesses
136,Akna Montes,Akna Montes,Venus,830,68.9,318.2,South and Central America,Mayan,Montes,MO,1979,Mayan goddess of birth.,"Mons, montes",A,Mons,montes,a mountain; plural montes,"miscellaneous goddesses, and one radar scientist"
137,Akosua,Akosua,Venus,6.2,-58.6,18.1,Africa,Ghana,Craters,AA,1997,Akan first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
138,Aksentyeva,Aksentyeva,Venus,42.5,-42,271.9,Europe,Soviet,Craters,AA,1994,"Zinaida; Soviet geophysicist, astronomer (1900-1969).","Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
140,Akuanda Dorsa,Akuanda Dorsa,Venus,800,63.5,232,Europe,Caucasus,Dorsa,DO,1997,Adygan light deity.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
141,Akuba,Akuba,Venus,5.5,9.6,23,Africa,Ghana,Craters,AA,1997,Eve first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
155,Alajen Vallis,Alajen Vallis,Venus,200,-3.3,337.1,Asia,Iran,Valles,VA,2000,"Talysh (Caspian Sea, SW coast) river deity.","Vallis, valles",A,Vallis,valles,a valley,"the word for Venus in various world languages (if 400 km and longer), or river goddesses (if less than 400 km in length)"
161,Albasty Fossae,Albasty Fossae,Venus,500,-9,336.5,Europe,Tartar,Fossae,FO,1997,Tartar evil spirit.,"Fossa, fossae",A,Fossa,fossae,"a long, narrow, shallow depression",goddesses of war
167,Albys Vallis,Albys Vallis,Venus,240,-39.5,30.5,Asia,Tuva,Valles,VA,1997,Tuva/Altay river deity.,"Vallis, valles",A,Vallis,valles,a valley,"the word for Venus in various world languages (if 400 km and longer), or river goddesses (if less than 400 km in length)"
168,Alcott,Alcott,Venus,66,-59.5,354.4,North America,American,Craters,AA,1991,Louisa M.; American author (1832-1888).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
169,Alcyone Tholus,Alcyone Tholus,Venus,70,-2.1,256.4,Europe,Greek,Tholi,TH,2003,Greek goddess who is the personification of a rain cloud.,"Tholus, tholi",A,Tholus,tholi,a small domical mountain or hill,miscellaneous goddesses
175,Aleksota Mons,Aleksota Mons,Venus,250,-9,308.5,Europe,Lithuania,Montes,MO,1997,Lithuanian goddess of love.,"Mons, montes",A,Mons,montes,a mountain; plural montes,"miscellaneous goddesses, and one radar scientist"
173,Ale Tholus,Ale Tholus,Venus,87,68.2,247,Africa,Nigeria,Tholi,TH,1985,Igbo (Nigeria) goddess who created Earth and vegetation.,"Tholus, tholi",A,Tholus,tholi,a small domical mountain or hill,miscellaneous goddesses
186,Alima,Alima,Venus,10.3,-46,229.2,Europe,Russia,Craters,AA,1994,Tatar first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
187,Alimat,Alimat,Venus,13.5,-29.5,205.9,Asia,Georgia,Craters,AA,1994,Osset first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
14600,Alina,Alina,Venus,3.7,8.3,267.78,Europe,France,Craters,AA,2009,Short form of French first name Adeline/Adelaide.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
188,Alison,Alison,Venus,14.4,-4,165.6,Europe,Ireland,Craters,AA,1994,Irish first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
190,Alkonost Dorsa,Alkonost Dorsa,Venus,730,-5,341,Europe,Slavic,Dorsa,DO,1997,"E. Slavic wonder bird with woman's face, lives in Paradise.","Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
191,Allat Dorsa,Allat Dorsa,Venus,750,60,70,Asia,Arabian,Dorsa,DO,1985,Arab sky goddess.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
192,Allatu Corona,Allatu Corona,Venus,125,15.5,114,Asia,Akkadian (Accadian),Coronae,CR,1994,Akkadian earth goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
194,Alma,Alma,Venus,16.8,-2.4,228.8,Asia,Kazakhstan,Craters,AA,1994,Kazakh first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
195,Alma-Merghen Planitia,Alma Merghen Planitia,Venus,1500,-76,100,Asia,Mongolia,Planitiae,PL,1997,"Mongol/Tibet/Buryat ""Gheser"" epic tale heroine.","Planitia, planitiae",A,Planitia,planitiae,a low plain,mythological heroines
197,Almeida,Almeida,Venus,15.5,46.6,123.3,Europe,Portugal,Craters,AA,1985,Portuguese first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
201,Alpan Fluctus,Alpan Fluctus,Venus,500,-7.5,349,Europe,Caucasus,Fluctūs,FL,1997,Lezghin (Daghestan) fire goddess.,"Fluctus, fluctūs",A,Fluctus,fluctūs,"terrain covered by outflow of liquid, like lava",miscellaneous goddesses
203,Alpha Regio,Alpha Regio,Venus,1897,-25.5,0.3,Europe,Greek,Regiones,RE,1979,First letter in Greek alphabet.,"Regio, regiones",A,Regio,regiones,a large area that is strongly differentiated in color or brightness from its surroundings,giantesses and titanesses (and two after Greek letters of the alphabet)
207,Altana,Altana,Venus,6,1.4,69.9,Europe,Kalmyk,Craters,AA,1997,Kalmyk first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
152,Al-Taymuriyya,Al Taymuriyya,Venus,19,32.9,336.1,Africa,Egypt,Craters,AA,1991,"Ayesha; Egyptian author, feminist (1840-1902).","Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
153,Al-Uzza Undae,Al Uzza Undae,Venus,150,67.7,90.5,Asia,Arabian,Undae,UN,1994,Arabian desert goddess.,Undae,An,Undae,Undae,a field of dunes,desert goddesses
211,Ama Corona,Ama Corona,Venus,300,-45.7,278.2,Africa,Nigeria,Coronae,CR,1997,"Jukun (Central Nigeria) goddess of childbirth, personification of earth.","Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
6775,[Amalasthuna],Amalasthuna,Venus,15.4,-11.5,342.4,Europe,Russia,Craters,AA,1991,Ostrogoth queen (c. 498-535 A.D.). Changed to Amalasuntha.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
212,Amalasuntha,Amalasuntha,Venus,15.4,-11.5,342.4,Europe,Italy,Craters,AA,1991,Ostrogoth queen (c. 498-535 A.D.). Changed from Amalasthuna.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
213,Amanda,Amanda,Venus,12.5,-29.2,94.5,Europe,Latin,Craters,AA,1997,Latin first name. Name changed from Lida.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
217,Amaya,Amaya,Venus,34.5,11.3,89.4,Europe,Spain,Craters,AA,1991,Carmen; Spanish Gypsy dancer (1913-1963).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
222,Ambar-ona Corona,Ambar ona Corona,Venus,550,-70,82.5,Asia,Uzbekistan,Coronae,CR,1997,Uzbek women's and fertility goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
14601,Amelia,Amelia,Venus,3.3,8.57,280.45,Europe,Latin,Craters,AA,2009,First name from Latin.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
224,Amenardes,Amenardes,Venus,27.9,15,54.3,Africa,Egypt,Craters,AA,1991,Egyptian princess (718-655 B.C.).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
225,Ament Corona,Ament Corona,Venus,115,-67.2,217.9,Africa,Egypt,Coronae,CR,1994,Egyptian earth goddess.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
233,Aminata,Aminata,Venus,9.7,6.6,25.2,Africa,Mali,Craters,AA,1997,Mandingo first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
235,Amitolane Dorsa,Amitolane Dorsa,Venus,900,-77,335,North America,American,Dorsa,DO,1997,Zuni (SW USA) name of the rainbow.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
239,Among Corona,Among Corona,Venus,210,-13.4,213.5,Asia,Burma,Coronae,CR,2003,Karen (Burma/Myanmar) mythological first woman.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
243,Amra Tholus,Amra Tholus,Venus,50,53,98,Asia,Georgia,Tholi,TH,1997,Abkhazian sun deity.,"Tholus, tholi",A,Tholus,tholi,a small domical mountain or hill,miscellaneous goddesses
248,Anahit Corona,Anahit Corona,Venus,324,77.1,277.3,Asia,Armenian,Coronae,CR,1985,Armenian goddess of fertility.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
6778,[Anala Corona],Anala Corona,Venus,240,11,14,Asia,India,Coronae,CR,1994,Hindu fertility goddess. Name changed to Anala Mons.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
249,Anala Mons,Anala Mons,Venus,525,11,14.1,Asia,India,Montes,MO,1997,Hindu fertility goddess. Name changed from Anala Corona.,"Mons, montes",A,Mons,montes,a mountain; plural montes,"miscellaneous goddesses, and one radar scientist"
250,Ananke Tessera,Ananke Tessera,Venus,1060,53.3,137,Europe,Greek,Tesserae,TE,1985,Greek goddess of necessity.,"Tessera, tesserae",A,Tessera,tesserae,"an area of tile-like, polygonal terrain. Often represents the oldest material at any given location",goddesses of fate and fortune
253,Anaxandra,Anaxandra,Venus,20.4,44.2,162.3,Europe,Greek,Craters,AA,1994,Greek artist (fl. c. 228 B.C.).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
258,Andami,Andami,Venus,28.9,-17.5,26.5,Asia,Iran,Craters,AA,1991,Iranian doctor.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
263,Andreianova,Andreianova,Venus,66.1,-3,68.8,Europe,Russia,Craters,AA,1994,Elena; Russian ballerina (c. 1821-c. 1855).,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
268,Angerona Tholus,Angerona Tholus,Venus,200,-29.8,287.2,Europe,Italy,Tholi,TH,1997,Italian goddess of silence.,"Tholus, tholi",A,Tholus,tholi,a small domical mountain or hill,miscellaneous goddesses
271,Angrboda Tholus,Angrboda Tholus,Venus,80,-73.8,116,Europe,Norse,Tholi,TH,1997,"Norse Titaness, mother of three terrible deities.","Tholus, tholi",A,Tholus,tholi,a small domical mountain or hill,miscellaneous goddesses
278,Anicia,Anicia,Venus,38.2,-26.3,31.3,Europe,Greek,Craters,AA,1991,"Greek physician, poet (fl. c.300 B.C.).","Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
14213,Anjea Corona,Anjea Corona,Venus,145,-29,282.8,Oceania,Australia,Coronae,CR,2006,"Australian (Queensland) mother and guardian goddess, forms infants from mud and places them into their future mothers.","Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
15652,Annabelle,Annabelle,Venus,7.7,-4.15,286.29,Europe,Scotland,Craters,AA,2017,Scottish first name of Latin origin.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
282,Annapurna Corona,Annapurna Corona,Venus,300,-35.5,152,Asia,India,Coronae,CR,1994,Indian goddess of wealth.,"Corona, coronae",A,Corona,coronae,an oval-shaped feature,fertility and earth goddesses
284,Annia Faustina,Annia Faustina,Venus,23.4,22.1,4.7,Europe,Roman,Craters,AA,1991,"Roman empress, wife of Marcus Aurelius (125-175 A.D.).","Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
285,Anning Paterae,Anning Paterae,Venus,0,66.5,57.8,Europe,Great Britain,Paterae,PE,1991,Mary; English paleontologist (1799-1847).,"Patera, paterae",A,Patera,paterae,"an irregular crater, usually referring to the dish-shaped depression atop a volcano",famous women
286,Anpao Dorsa,Anpao Dorsa,Venus,550,62,207,North America,Dakota,Dorsa,DO,1997,Dakota name of the dawn.,"Dorsum, dorsa",A,Dorsum,dorsa,"a ridge, sometimes called a wrinkle ridge",sky goddesses
287,Anqet Farra,Anqet Farra,Venus,125,33.6,311.5,Africa,Egypt,Farra,FR,1994,Egyptian goddess of fertile waters.,"Farrum, farra",A,Farrum,farra,"a pancake-like structure, or a row of such structures",water goddesses
6780,[Anqet Farrum],Anqet Farrum,Venus,125,33.6,311.5,Africa,Egypt,Farra,FR,1994,Egyptian goddess of fertile waters. Changed to Anqet Farra.,"Farrum, farra",A,Farrum,farra,"a pancake-like structure, or a row of such structures",water goddesses
292,Anthony Patera,Anthony Patera,Venus,70,48.2,32.6,North America,American,Paterae,PE,1991,Susan B.; American suffrage leader (1820-1906).,"Patera, paterae",A,Patera,paterae,"an irregular crater, usually referring to the dish-shaped depression atop a volcano",famous women
295,Antiope Linea,Antiope Linea,Venus,0,-40,350,Europe,Greek,Lineae,LI,1982,Amazon awarded to Theseus.,"Linea, lineae",A,Linea,lineae,"a general term for any long marking, dark or bright, on a planet's surface",goddesses of war
299,Antonina,Antonina,Venus,13.8,28.1,106.8,Europe,Russia,Craters,AA,1985,Russian first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
305,Anuket Vallis,Anuket Vallis,Venus,350,66.7,8,Africa,Egypt,Valles,VA,1994,Egyptian river goddess.,"Vallis, valles",A,Vallis,valles,a valley,"the word for Venus in various world languages (if 400 km and longer), or river goddesses (if less than 400 km in length)"
306,Anush,Anush,Venus,12.7,14.9,86.5,Asia,Armenian,Craters,AA,1994,Armenian first name.,"Crater, craters",A,Crater,craters,a circular depression created by an impact event,"famous women (if over 20 km in diameter), or common female first names (if under 20 km)"
